Employee_ID,Age,Gender,Department,Job_Role,Experience_Years,Education_Level,Certification_Count,AI_Training_Hours,Coding_Test_Score,Communication_Score,Leadership_Score,Problem_Solving_Score,Innovation_Score,Attendance_Percentage,Remote_Work_Days,Overtime_Hours,Salary,Promotion_Last_3Y,Project_Count,Client_Rating,Bug_Fix_Count,Deployment_Success_Rate,Team_Size,Stress_Level,Work_Life_Balance,Job_Satisfaction,Attrition_Risk,Manager_Rating,Employee_Performance_Score
101861,54,Male,Sales,HR Executive,29,Master,5,45,68,86,77,93,57,96,10,69,921791,Yes,7,2.18,460,90.58,22,2,9,9,Medium,3.86,73.78
101862,26,Male,IT,Marketing Specialist,6,Bachelor,4,117,94,84,47,67,48,98,6,41,700878,No,10,2.23,187,70.63,10,1,9,4,High,2.47,55.56
101863,56,Male,Sales,Finance Analyst,16,Bachelor,11,175,69,87,95,50,57,91,14,13,2118312,No,11,2.06,285,83.3,5,4,7,7,Medium,3.99,61.13
101864,55,Male,Operations,Software Engineer,19,PhD,6,67,75,89,97,70,99,76,0,4,1251313,No,1,1.26,494,74.72,3,9,8,8,High,3.07,66.34
101865,54,Male,Sales,HR Executive,10,PhD,2,250,84,76,88,94,48,87,9,35,1681579,No,11,4.37,284,80.14,13,4,7,5,Low,1.77,70.27
101866,42,Male,IT,Cloud Engineer,24,Master,4,229,45,75,89,91,93,96,20,58,687205,Yes,5,4.45,179,86.72,7,7,6,9,Medium,1.46,75.62
101867,38,Female,Operations,DevOps Engineer,23,Bachelor,1,199,97,61,82,49,38,70,8,56,1785146,No,13,3.9,306,91.96,2,5,4,6,High,4.71,55.94
101868,43,Male,Operations,Business Analyst,1,Bachelor,4,145,86,51,72,41,70,77,22,59,1776462,No,16,4.71,157,76.97,16,9,3,7,Low,3.63,64.71
101869,58,Male,IT,ML Engineer,26,Bachelor,6,50,53,92,97,85,79,99,15,77,2251224,Yes,11,3.53,238,80.04,19,5,5,1,Low,3.42,80.3
101870,36,Female,Operations,Software Engineer,18,Bachelor,14,185,96,69,78,83,39,85,15,62,1410868,No,5,3.56,324,76.3,24,6,5,6,Medium,3.45,73.06
101871,56,Female,HR,Finance Analyst,28,Bachelor,10,198,42,84,79,43,83,95,24,48,1270925,Yes,6,4.55,67,99.53,8,6,4,4,Low,2.44,61.3
101872,49,Other,Marketing,Sales Executive,10,PhD,9,144,63,59,70,61,39,84,24,64,934737,No,3,1.83,177,97.88,15,1,3,5,High,1.41,49.02
101873,28,Male,HR,Software Engineer,18,PhD,10,58,58,57,42,84,36,73,16,51,747493,No,2,2.74,493,89.61,15,3,4,9,High,4.51,58.36
101874,53,Male,HR,Project Manager,27,Bachelor,6,194,77,89,58,91,61,82,23,8,1533171,Yes,6,3.82,58,94.74,22,2,2,5,Medium,4.69,75.12
101875,32,Male,IT,Business Analyst,20,PhD,8,142,73,95,87,67,83,94,11,15,1237027,No,10,2.07,30,91.57,23,7,7,8,Medium,2.87,72.26
101876,31,Male,IT,Marketing Specialist,25,PhD,2,222,48,85,94,49,99,81,6,34,2353927,Yes,6,1.91,169,95.46,21,4,8,1,Low,2.7,73.64
101877,30,Other,Marketing,Sales Executive,21,Bachelor,7,99,69,80,47,41,92,78,1,73,1096138,Yes,2,4.59,160,98.08,3,9,1,3,Low,1.88,50.65
101878,35,Female,Sales,Marketing Specialist,5,PhD,4,25,71,64,69,96,63,82,2,15,443486,No,17,4.98,240,97.91,13,3,1,2,High,1.03,70.21
101879,34,Female,HR,Business Analyst,10,Bachelor,6,13,52,91,70,88,72,80,5,32,1528361,No,1,2.55,320,87.24,8,7,5,8,High,3.8,71.09
101880,46,Male,Operations,HR Executive,13,PhD,0,121,57,67,68,70,34,81,18,50,1083172,Yes,1,1.95,18,98.94,12,5,7,1,Low,3.0,60.37
101881,23,Male,Marketing,QA Engineer,1,Bachelor,0,264,83,64,45,81,48,73,7,60,1443041,Yes,6,2.62,398,82.23,15,2,5,2,Medium,4.8,57.1
101882,56,Male,HR,Cloud Engineer,19,Bachelor,3,6,92,68,95,62,83,95,3,78,1785150,Yes,17,2.22,321,75.8,15,1,7,9,Low,1.18,69.53
101883,28,Other,Sales,Cloud Engineer,21,PhD,4,218,61,73,41,55,43,72,6,58,1471764,Yes,2,4.29,323,76.94,6,5,2,9,Medium,2.35,59.66
101884,42,Other,Operations,Data Scientist,3,PhD,12,219,43,84,62,48,39,74,3,71,2451123,Yes,17,4.6,258,83.76,24,3,3,1,Low,4.94,54.08
101885,39,Female,HR,Cloud Engineer,28,Master,9,182,99,51,83,90,78,75,17,3,1032408,No,16,2.56,342,77.59,3,7,4,8,High,3.48,74.01
101886,24,Male,Finance,Software Engineer,23,Bachelor,2,107,62,62,69,82,40,95,6,1,371173,No,7,3.4,359,73.81,15,9,5,7,High,2.41,55.37
101887,32,Male,Marketing,Product Manager,0,Bachelor,5,123,46,94,92,45,60,73,23,70,770058,No,4,1.32,443,81.9,18,4,4,4,Low,1.79,52.71
101888,45,Male,IT,Cloud Engineer,23,Bachelor,2,169,83,58,77,96,95,70,0,57,465266,Yes,13,2.85,170,87.44,20,9,7,7,Medium,1.26,74.65
101889,40,Male,HR,Finance Analyst,29,Bachelor,4,256,94,84,85,64,39,92,4,61,595110,Yes,4,1.03,52,99.04,12,6,5,1,Medium,4.69,64.13
101890,25,Other,Operations,Product Manager,11,PhD,10,8,50,51,78,43,50,100,9,24,498836,No,5,3.68,325,88.62,9,1,5,3,High,2.61,56.03
101891,47,Female,Operations,Sales Executive,18,PhD,12,279,78,95,48,87,30,74,13,70,1103582,Yes,16,1.7,349,93.22,23,7,2,2,High,4.78,63.13
101892,59,Female,Marketing,Product Manager,3,Master,14,124,97,65,46,51,75,71,23,24,1694072,No,9,4.51,406,90.47,19,3,1,8,High,2.41,64.26
101893,53,Other,Marketing,Cloud Engineer,14,Bachelor,0,161,98,95,86,63,49,83,0,65,988291,No,11,3.52,232,81.54,24,2,1,9,High,4.77,62.43
101894,57,Male,Operations,ML Engineer,19,Master,2,35,81,85,83,95,50,80,11,25,1666952,No,12,4.71,432,75.67,13,1,8,5,Low,4.24,70.64
101895,58,Female,Operations,Data Scientist,19,Master,6,3,80,51,98,66,66,99,18,54,591990,Yes,14,4.75,270,78.47,13,9,1,5,Low,2.31,66.22
101896,54,Female,Operations,Sales Executive,20,Master,2,86,73,65,88,87,43,78,1,2,728792,No,15,1.68,108,96.3,21,4,9,5,High,2.7,60.75
101897,57,Other,HR,Support Engineer,9,Master,4,263,44,57,54,94,87,77,13,45,1391249,Yes,5,3.05,430,74.67,15,4,2,1,Medium,4.77,61.37
101898,24,Male,Operations,Software Engineer,29,Master,6,90,81,50,54,93,86,95,2,28,1301585,No,10,1.78,113,72.93,17,3,8,1,Medium,3.98,74.89
101899,30,Female,IT,Business Analyst,23,PhD,12,294,64,67,60,42,86,76,18,57,555503,Yes,18,2.81,208,95.6,9,1,2,8,Low,4.22,51.83
101900,29,Male,Operations,Support Engineer,2,PhD,1,57,67,90,98,51,98,100,2,10,2003665,Yes,8,2.8,8,86.45,14,4,8,8,High,3.51,59.43
101901,54,Female,IT,Support Engineer,28,Master,2,139,53,75,53,86,99,98,12,20,1593037,No,8,3.94,193,90.48,11,1,9,2,High,1.24,72.93
101902,27,Other,HR,HR Executive,7,PhD,3,171,66,93,50,91,53,84,16,42,1627877,Yes,4,4.9,305,94.77,15,8,8,3,High,4.44,63.71
101903,25,Male,Marketing,DevOps Engineer,28,PhD,4,259,55,54,50,69,89,78,2,3,2352169,No,19,3.52,436,80.2,21,6,6,2,Medium,4.11,55.75
101904,34,Other,IT,HR Executive,9,Master,11,24,66,70,59,51,52,79,13,68,581866,No,11,4.26,104,92.5,4,2,7,8,Medium,3.29,65.63
101905,23,Female,HR,QA Engineer,4,PhD,8,197,41,84,52,80,76,87,1,69,2371170,No,6,2.61,348,88.93,9,2,4,9,High,3.78,65.98
101906,26,Other,Operations,DevOps Engineer,10,PhD,8,66,58,89,84,81,67,99,12,21,1882645,Yes,1,1.29,370,70.74,3,7,4,9,High,1.93,63.28
101907,48,Other,HR,Finance Analyst,3,Bachelor,3,117,62,77,69,94,81,98,8,5,2209772,Yes,5,3.06,425,91.61,5,3,3,6,Medium,4.7,72.53
101908,53,Other,Operations,AI Engineer,34,Master,13,279,80,75,79,98,42,88,9,77,2106181,Yes,1,4.62,429,80.33,24,2,9,6,High,1.86,65.85
101909,42,Female,HR,Data Scientist,11,Bachelor,8,5,53,81,78,79,37,94,7,21,573474,Yes,3,1.96,478,76.24,18,1,5,9,Low,3.69,54.99
101910,29,Male,Marketing,Support Engineer,20,Bachelor,3,96,86,97,59,84,61,91,21,15,410986,Yes,3,2.05,351,98.83,3,2,8,5,Low,2.9,71.4
101911,59,Other,IT,Business Analyst,15,Master,1,71,90,99,84,61,46,71,6,35,1225647,No,3,1.42,247,93.09,6,2,3,4,High,3.2,64.93
101912,29,Male,Marketing,Product Manager,13,Bachelor,9,257,65,93,82,54,34,91,0,49,1190453,Yes,7,4.99,57,70.73,2,5,4,5,Medium,1.82,62.07
101913,24,Female,Finance,HR Executive,20,Bachelor,0,37,47,93,90,67,79,83,22,57,329349,No,1,2.66,256,92.8,20,4,3,8,Low,1.72,60.58
101914,24,Male,Operations,Cloud Engineer,26,PhD,6,295,66,70,77,56,41,99,7,70,2041323,No,10,2.2,93,95.51,23,5,9,2,Medium,2.31,59.71
101915,43,Other,IT,Data Scientist,0,Bachelor,3,55,86,53,47,98,73,90,7,50,368401,No,5,4.71,347,80.69,8,6,1,8,Medium,1.12,69.37
101916,27,Other,Marketing,Cloud Engineer,0,Master,11,102,79,91,90,83,97,79,5,77,1325296,No,16,4.24,252,79.79,23,8,9,2,High,1.48,77.27
101917,23,Other,IT,Data Scientist,21,PhD,7,102,67,90,76,87,88,74,22,46,1124551,No,16,4.51,217,82.71,13,6,8,1,Medium,2.46,65.55
101918,44,Other,Finance,Project Manager,14,PhD,7,215,43,85,81,64,39,74,17,52,907903,Yes,4,4.8,81,83.99,24,9,1,6,Medium,3.43,50.83
101919,23,Other,Sales,Project Manager,19,PhD,11,20,98,73,72,82,77,71,3,5,1046178,Yes,17,4.43,247,81.42,15,5,4,5,Low,2.41,82.44
101920,59,Other,Operations,Data Scientist,2,Master,7,114,77,82,65,90,57,99,23,24,1552434,Yes,13,4.94,256,85.19,23,6,1,9,Medium,1.29,60.38
101921,38,Female,Operations,QA Engineer,13,Master,5,209,50,54,83,84,34,91,10,2,660049,Yes,3,3.56,424,99.18,18,4,2,1,High,4.2,63.58
101922,56,Female,HR,ML Engineer,8,Master,8,290,83,52,97,42,73,82,19,12,1195792,No,8,1.96,371,70.96,14,4,2,6,Medium,1.63,60.18
101923,55,Female,Operations,Finance Analyst,18,Bachelor,13,202,63,60,95,96,60,76,23,52,2439178,No,2,1.67,303,99.48,15,5,5,7,High,1.22,67.11
101924,44,Male,Operations,Product Manager,33,Bachelor,3,187,67,94,78,75,45,94,15,66,937202,No,11,3.41,466,95.48,5,1,3,9,Low,2.41,61.89
101925,51,Male,Marketing,Project Manager,3,PhD,4,150,80,81,47,70,52,99,11,30,1789743,No,4,2.44,354,93.92,18,2,8,6,Medium,2.86,54.69
101926,29,Female,Operations,Cloud Engineer,32,PhD,3,190,57,71,57,95,50,90,3,66,1688640,Yes,8,1.52,288,83.51,13,4,2,2,Medium,4.57,61.6
101927,43,Male,Operations,Project Manager,1,Master,4,213,88,60,78,54,31,96,8,54,1803246,No,13,4.19,71,72.25,22,7,5,7,Medium,1.99,56.47
101928,57,Male,Finance,Cloud Engineer,26,Master,1,41,60,87,53,85,52,84,0,65,996548,No,4,2.4,499,88.56,9,2,6,8,Low,3.35,63.54
101929,26,Other,Finance,Cloud Engineer,16,Bachelor,4,193,65,71,91,67,40,96,5,4,310771,No,2,2.78,496,96.83,3,2,5,5,Medium,2.1,65.92
101930,34,Other,IT,QA Engineer,30,Bachelor,9,249,42,53,57,82,31,90,0,8,940644,Yes,8,3.45,346,82.75,17,4,1,8,Low,1.48,59.72
101931,50,Male,IT,HR Executive,5,Master,7,80,98,88,96,70,42,100,21,28,2293535,Yes,18,2.61,356,72.08,22,4,7,6,Medium,3.55,72.7
101932,52,Male,Operations,Software Engineer,30,Master,8,40,52,52,60,99,74,84,19,34,2086791,No,7,4.47,169,70.16,15,9,6,3,Low,4.0,65.42
101933,37,Female,Operations,Cloud Engineer,2,Bachelor,6,19,77,59,62,84,39,94,23,34,2340431,Yes,17,4.93,391,73.58,7,9,4,6,High,3.18,60.81
101934,51,Male,HR,HR Executive,2,PhD,6,8,67,86,43,59,50,75,7,49,2256522,No,14,2.54,247,88.18,14,5,7,1,Low,2.35,45.78
101935,37,Other,IT,ML Engineer,32,PhD,13,123,53,68,49,89,30,76,12,29,1798803,Yes,7,1.71,185,99.73,4,1,7,8,Low,4.95,62.75
101936,33,Male,Marketing,Cloud Engineer,12,Bachelor,5,202,98,67,82,84,45,73,24,14,1755086,No,13,2.11,107,91.36,15,8,9,9,High,1.13,63.96
101937,38,Female,Operations,Finance Analyst,20,Bachelor,1,77,40,77,50,60,72,73,22,28,1591668,No,2,3.7,111,74.71,3,6,1,7,High,3.21,43.57
101938,37,Other,Marketing,Business Analyst,15,PhD,9,209,67,80,59,66,35,70,23,24,2283884,No,12,1.33,223,95.88,21,5,6,8,High,3.68,55.55
101939,33,Other,Operations,Sales Executive,20,Bachelor,11,17,98,66,58,58,40,80,18,74,2192609,Yes,2,3.7,210,89.81,11,1,6,9,Low,2.69,56.06
101940,29,Other,Marketing,AI Engineer,12,PhD,10,235,75,73,40,75,95,74,19,56,1675365,No,8,3.11,157,79.05,16,6,6,8,Low,1.53,66.35
101941,41,Other,Sales,Sales Executive,3,PhD,9,199,93,50,70,51,78,71,3,50,520252,No,18,1.18,59,85.05,11,5,8,4,High,1.71,65.16
101942,24,Male,Marketing,Cloud Engineer,30,Bachelor,12,281,89,54,41,74,49,74,21,67,1971512,Yes,2,2.64,483,82.09,14,3,9,5,Medium,4.78,59.86
101943,37,Female,IT,Project Manager,8,Master,8,251,50,81,80,87,50,74,6,57,1365635,Yes,4,1.92,123,96.14,19,7,4,2,Low,4.62,63.08
101944,51,Male,Operations,Software Engineer,32,Master,13,238,82,66,88,72,65,89,24,11,1925478,Yes,17,1.52,265,98.6,4,4,6,1,Low,1.7,70.06
101945,44,Male,IT,Sales Executive,23,Master,4,268,79,70,44,75,67,100,21,68,1319989,No,14,4.76,447,73.71,19,2,1,8,Low,1.23,73.84
101946,49,Other,Marketing,Business Analyst,24,Master,5,118,43,90,73,80,85,82,17,36,2296288,No,8,2.16,419,74.42,13,1,5,7,Medium,1.69,66.01
101947,26,Female,Finance,Support Engineer,28,Master,0,281,73,92,43,62,40,81,9,24,2260280,Yes,4,2.98,15,72.47,2,2,2,8,Medium,4.51,54.26
101948,41,Other,Finance,Finance Analyst,14,Master,4,6,40,71,66,52,47,79,22,67,1406909,No,16,3.45,258,81.4,17,7,9,9,Low,1.4,49.39
101949,22,Male,Finance,QA Engineer,17,Master,5,272,95,88,78,93,74,82,14,23,2349439,No,9,3.52,341,99.13,18,9,6,8,Medium,1.65,75.04
101950,51,Male,Operations,AI Engineer,19,Bachelor,9,252,49,88,92,69,55,78,12,35,1793986,Yes,18,2.53,498,99.62,11,1,8,5,Medium,3.83,61.37
101951,42,Other,HR,QA Engineer,4,Bachelor,10,127,56,83,88,49,88,74,24,1,2028525,No,18,2.08,85,87.88,4,1,7,7,Low,4.27,57.96
101952,41,Male,Sales,Support Engineer,17,Master,1,91,46,63,42,80,35,75,23,34,1639174,Yes,13,3.26,84,83.91,2,1,6,5,Medium,3.18,47.62
101953,27,Male,Marketing,Software Engineer,0,Bachelor,6,5,78,65,65,59,72,99,19,7,1917533,Yes,11,4.18,477,79.07,2,2,8,1,High,1.78,63.35
101954,43,Other,HR,AI Engineer,18,PhD,13,73,52,54,80,45,81,86,17,72,1890569,No,2,4.58,154,70.01,20,8,3,3,Low,4.23,56.53
101955,39,Male,Finance,Software Engineer,22,Master,3,55,61,67,40,70,91,97,23,27,490439,No,2,3.37,65,77.89,11,2,1,1,Low,2.49,68.33
101956,29,Female,Marketing,QA Engineer,25,PhD,4,294,95,53,97,58,46,74,21,59,1217514,No,11,3.12,455,74.39,15,4,7,9,Medium,3.7,68.99
101957,53,Other,HR,Finance Analyst,28,Bachelor,2,237,97,93,91,42,75,97,11,53,1500283,No,13,4.86,426,70.06,10,2,5,4,Medium,1.99,74.44
101958,54,Female,IT,AI Engineer,33,Master,4,21,40,77,92,49,70,94,14,43,563935,Yes,15,1.81,150,96.88,4,6,2,1,Low,3.22,60.81
101959,37,Male,Finance,DevOps Engineer,18,PhD,11,40,67,94,55,49,42,97,7,9,2045634,Yes,16,1.07,38,72.53,17,6,4,1,High,2.35,56.86
101960,33,Male,HR,HR Executive,17,Bachelor,3,265,72,76,97,95,35,80,10,4,2394360,No,16,2.97,421,91.26,10,8,2,1,High,1.93,70.39
101961,59,Other,Operations,Finance Analyst,1,Master,11,257,52,55,74,60,62,75,24,46,1915494,No,17,1.23,360,97.74,13,2,2,7,Medium,3.92,60.98
101962,55,Male,IT,Support Engineer,26,Master,13,47,40,60,58,95,33,78,2,30,1870345,No,17,1.24,419,73.81,18,1,5,9,High,4.47,59.04
101963,35,Other,Finance,AI Engineer,5,PhD,9,297,77,96,55,96,79,81,23,28,2013114,No,7,1.13,141,77.21,7,1,7,5,High,4.5,62.52
101964,57,Other,Sales,Software Engineer,5,PhD,5,138,94,70,72,41,77,98,13,2,1995342,Yes,9,3.47,372,77.05,8,5,6,6,High,2.76,77.86
101965,54,Other,Finance,Support Engineer,5,PhD,1,201,97,66,70,84,56,73,7,25,822452,No,4,3.5,383,72.58,21,5,1,3,Low,4.63,60.64
101966,44,Other,Operations,Software Engineer,30,Bachelor,2,139,64,80,61,78,35,87,20,1,2239512,No,15,2.02,350,97.29,14,2,1,1,High,3.08,62.07
101967,23,Other,Sales,ML Engineer,29,PhD,11,141,81,83,83,84,87,84,5,78,1471418,No,11,2.8,440,95.47,12,6,1,5,High,2.41,74.66
101968,42,Female,Sales,Finance Analyst,20,PhD,14,285,60,62,59,69,92,94,20,76,978869,Yes,6,2.68,174,81.42,14,2,3,8,Medium,4.04,60.81
101969,23,Other,Sales,Support Engineer,17,PhD,9,232,72,72,95,85,30,73,21,55,1242090,Yes,1,2.97,50,93.08,5,7,1,3,High,2.1,60.83
101970,48,Female,Marketing,Software Engineer,22,Master,0,157,96,50,45,67,57,83,0,13,2263330,No,1,1.8,146,85.28,21,3,4,6,Low,2.63,61.07
101971,30,Male,Marketing,Data Scientist,22,PhD,6,37,76,53,74,57,58,96,9,75,883709,No,5,4.25,285,90.37,24,2,5,5,High,4.19,59.68
101972,22,Other,Sales,Support Engineer,27,PhD,8,74,93,79,99,53,57,99,1,14,706888,No,4,2.15,271,90.67,23,6,1,3,Low,2.96,68.14
101973,32,Male,IT,HR Executive,24,Bachelor,1,174,96,80,78,94,97,87,7,44,429046,Yes,14,2.31,75,93.26,5,1,5,3,Medium,1.51,77.96
101974,24,Other,Sales,QA Engineer,6,Bachelor,6,38,73,96,42,98,70,86,13,46,1520863,No,10,3.6,63,96.98,9,5,3,9,Medium,4.82,66.19
101975,44,Female,HR,Business Analyst,17,PhD,14,72,42,65,71,84,84,71,0,19,1745035,Yes,1,4.93,315,93.67,10,6,1,3,High,1.05,63.95
101976,47,Female,Sales,ML Engineer,19,Bachelor,2,57,69,92,52,58,61,90,24,17,1168215,No,12,1.82,215,91.2,22,8,4,9,Low,1.98,65.65
101977,25,Female,Marketing,Software Engineer,4,Bachelor,4,88,94,52,87,79,98,88,6,78,833006,No,17,2.43,41,88.66,16,3,5,4,High,4.23,70.01
101978,39,Male,Marketing,Data Scientist,17,Bachelor,5,272,42,61,53,75,51,98,0,60,1339981,No,3,2.5,421,76.27,9,7,1,6,Low,4.38,59.37
101979,27,Other,HR,ML Engineer,32,Master,7,133,57,61,80,80,86,91,4,75,1077111,Yes,10,3.12,444,78.49,12,1,2,9,High,3.71,59.77
101980,56,Male,HR,Data Scientist,14,PhD,3,142,62,60,47,51,51,83,17,4,2321154,No,1,4.34,223,72.26,14,6,6,2,Medium,3.45,51.66
101981,43,Female,Finance,ML Engineer,34,PhD,1,94,47,65,86,59,95,73,16,57,1852765,Yes,19,3.9,49,77.73,21,1,2,7,Medium,4.33,67.35
101982,36,Male,IT,Software Engineer,0,PhD,2,155,48,78,58,73,70,71,16,76,2000597,No,18,1.82,274,86.32,11,7,2,1,Low,3.98,61.41
101983,43,Female,IT,Data Scientist,20,Bachelor,7,200,41,70,84,75,72,82,12,59,1149821,No,13,3.85,423,98.61,24,8,8,7,Low,4.92,72.07
101984,58,Female,IT,Sales Executive,7,Bachelor,6,159,41,94,53,60,63,76,20,12,720316,Yes,17,1.5,46,73.8,13,6,8,5,High,2.84,53.64
101985,33,Female,Operations,AI Engineer,6,Bachelor,5,210,66,93,50,95,31,97,3,79,1454681,No,4,1.77,61,83.28,12,1,4,6,High,2.08,61.33
101986,59,Other,Marketing,Finance Analyst,29,Master,4,171,87,91,89,58,88,96,20,39,808914,No,9,2.58,324,92.53,18,8,3,9,High,1.02,63.57
101987,39,Other,IT,Business Analyst,34,Bachelor,10,69,78,92,74,80,65,91,21,66,2080645,No,10,2.38,236,93.81,7,2,2,3,Low,2.32,69.08
101988,56,Female,Finance,QA Engineer,1,Master,4,144,75,99,75,80,37,77,15,51,630559,No,10,4.48,173,75.73,2,9,8,7,Low,4.3,64.46
101989,51,Male,Finance,Business Analyst,7,PhD,0,166,44,54,42,82,62,98,16,1,1252999,Yes,15,4.99,318,75.35,24,1,2,4,Medium,1.13,61.98
101990,45,Male,IT,QA Engineer,3,Bachelor,13,116,40,62,64,81,62,79,17,52,2117105,Yes,5,1.81,46,88.32,5,6,8,1,Medium,3.76,45.08
101991,51,Other,HR,DevOps Engineer,20,Master,5,184,61,66,52,74,97,90,1,66,1881973,Yes,18,3.63,385,97.42,14,5,1,6,High,1.18,63.37
101992,35,Female,Finance,Marketing Specialist,12,Master,12,202,49,61,55,47,47,72,20,10,1504428,No,11,3.33,178,94.13,24,5,5,4,High,2.9,58.15
101993,27,Male,HR,HR Executive,8,Bachelor,8,161,84,66,67,61,93,73,11,10,2323502,Yes,13,4.08,223,81.53,18,6,9,1,High,2.69,71.22
101994,24,Female,Marketing,Support Engineer,28,Master,7,187,63,50,84,82,90,90,9,9,2158008,No,17,3.8,127,89.75,16,6,6,5,Medium,4.75,62.0
101995,37,Male,Operations,DevOps Engineer,23,Bachelor,11,42,98,57,66,77,39,90,8,27,1079162,No,18,2.1,218,77.65,11,8,7,1,High,2.28,67.61
101996,28,Other,Finance,Cloud Engineer,15,Master,9,200,54,65,49,57,79,75,22,10,1708102,Yes,16,4.36,1,84.15,4,4,1,1,Medium,3.14,62.3
101997,35,Female,HR,Software Engineer,11,PhD,14,230,72,64,57,47,51,94,3,6,1186695,No,18,2.92,292,86.06,4,9,8,5,High,3.48,66.72
101998,30,Female,IT,AI Engineer,1,PhD,0,3,89,68,47,94,68,89,14,28,356933,No,5,4.73,164,89.13,23,8,6,4,Low,2.16,70.27
101999,36,Male,Marketing,Marketing Specialist,18,PhD,10,239,62,74,46,41,94,76,20,64,2036362,Yes,8,3.24,440,82.01,12,1,1,6,Medium,1.99,64.34
102000,42,Male,Sales,Finance Analyst,29,Bachelor,12,205,53,80,88,59,59,76,22,51,933651,Yes,14,2.16,149,70.96,12,4,1,3,High,2.15,66.24
102001,56,Male,Sales,Support Engineer,15,PhD,5,93,57,91,61,44,34,100,9,14,1096467,No,13,4.58,353,97.84,24,8,6,4,Medium,1.51,57.23
102002,23,Female,IT,Product Manager,23,PhD,2,231,64,51,77,96,55,91,8,6,1917217,No,9,4.31,63,98.69,9,8,9,3,High,1.46,68.85
102003,48,Other,Marketing,AI Engineer,12,PhD,5,159,61,74,86,81,92,86,6,67,1749405,No,1,4.79,218,90.61,6,4,9,2,High,3.37,68.67
102004,23,Other,Marketing,Project Manager,4,Bachelor,8,112,83,80,48,69,75,94,10,54,1462302,No,18,4.57,80,77.99,21,8,3,4,Medium,1.4,63.63
102005,56,Male,Marketing,Business Analyst,22,Master,5,251,83,53,99,57,60,75,1,2,885906,No,7,1.98,422,87.84,20,3,3,2,High,1.77,70.24
102006,39,Other,Marketing,QA Engineer,30,Bachelor,14,221,76,53,81,83,70,88,19,19,1396401,Yes,9,4.26,86,78.28,23,3,1,1,High,1.68,65.89
102007,35,Male,Sales,DevOps Engineer,16,Bachelor,7,93,46,61,98,99,41,96,19,2,2312795,No,7,3.38,73,90.96,15,9,8,5,Low,1.55,66.81
102008,41,Other,HR,AI Engineer,2,PhD,13,166,65,66,79,62,46,87,24,28,2490263,Yes,8,2.61,405,80.81,17,7,8,6,Low,1.57,60.55
102009,39,Female,Marketing,DevOps Engineer,25,Master,14,137,63,70,78,92,47,99,23,19,874626,Yes,18,1.03,270,86.72,12,6,3,5,Medium,4.19,64.87
102010,31,Male,HR,HR Executive,12,PhD,5,209,52,78,68,41,95,81,15,9,2139520,No,10,3.79,444,71.77,24,2,7,4,High,1.97,66.35
102011,46,Other,Marketing,HR Executive,21,PhD,5,255,80,71,94,81,68,97,5,60,2462720,No,17,4.42,443,99.89,3,9,8,6,High,1.88,74.59
102012,23,Female,Finance,Sales Executive,20,Bachelor,14,72,45,85,76,83,62,88,7,36,1434668,Yes,19,3.42,305,89.86,3,1,6,1,Low,1.52,66.75
102013,46,Other,Operations,QA Engineer,28,Bachelor,6,213,60,89,89,90,37,80,22,50,1894816,No,1,2.24,444,98.2,11,1,3,2,High,3.8,67.73
102014,54,Female,Finance,Cloud Engineer,4,Bachelor,10,265,46,65,87,76,55,86,23,41,644937,Yes,2,1.23,445,92.34,19,8,4,7,High,1.57,59.63
102015,57,Female,Operations,AI Engineer,13,PhD,12,150,57,64,86,81,64,72,22,72,2071740,Yes,14,3.64,383,86.86,16,3,7,6,Medium,1.22,67.59
102016,52,Other,Finance,Project Manager,17,Master,9,234,54,79,81,71,86,84,17,74,1517708,No,4,2.61,39,92.09,18,9,7,2,Low,4.99,65.21
102017,35,Other,Marketing,Finance Analyst,3,Master,10,215,47,95,68,40,50,74,10,29,1997639,Yes,17,2.99,163,84.08,4,7,3,5,Low,3.27,59.57
102018,22,Female,HR,Project Manager,32,PhD,3,108,99,60,67,78,66,73,21,44,1299270,Yes,17,3.26,362,98.78,24,7,6,6,Medium,3.79,61.88
102019,37,Female,Operations,DevOps Engineer,19,Master,12,299,91,62,60,40,34,95,3,23,511539,No,8,4.07,166,93.23,2,1,5,7,High,4.52,58.73
102020,24,Female,Sales,DevOps Engineer,12,PhD,12,295,55,72,72,93,46,70,3,30,2381067,No,1,3.15,15,73.63,19,1,8,8,Medium,1.01,66.22
102021,56,Male,IT,HR Executive,3,Master,7,119,88,89,98,99,54,90,9,22,1354503,No,17,3.1,311,98.52,6,7,9,5,Medium,4.22,70.09
102022,27,Female,Operations,Software Engineer,34,PhD,14,97,42,90,65,93,90,72,21,52,649825,Yes,8,2.93,118,87.27,21,9,1,2,Low,3.76,80.29
102023,46,Male,Operations,QA Engineer,7,Master,3,209,84,83,77,88,66,79,15,41,2240496,No,13,2.71,411,83.51,4,2,4,1,High,2.33,68.24
102024,34,Female,Sales,DevOps Engineer,5,Bachelor,14,31,48,69,54,83,95,96,23,35,2356190,No,2,3.49,290,93.77,3,7,8,6,Low,1.23,67.21
102025,55,Male,Marketing,HR Executive,21,Bachelor,6,225,91,51,41,70,42,99,20,33,1989649,No,17,1.1,415,76.86,23,8,1,6,Medium,3.21,54.14
